"","ime","cena","link","prodajalec","cena_EUR","buildplans_sales","buildplans_reviews","buildplans_ratings","buildplans_sellers"
"1","Silves, KALLAX Decor, 1 Panel, Furniture Panel, Furniture Decor, Mirrored Furniture, Furniture Renovation, SKU:SIKLX",330.25,"https://www.etsy.com/listing/897741341/silves-kallax-decor-1-panel-furniture?click_key=ddeb2491fc91129366fc6c396acfa9158f25296b%3A897741341&click_sum=01143e68&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=diy+furniture&ref=search_grid-243763-250-1&sts=1","HomeArtStickers",13.87,"50,178 sales","5,745 shop reviews","4.5 out of 5 stars","HomeArtStickers"
"2","PLAY KITCHEN Type A2 SET, Kids Pretend Play, Montessori Wooden Kitchen Toys For Girls, Kitchen Pretend Play Toys For Playroom Decor",7740,"https://www.etsy.com/listing/1103901356/play-kitchen-type-a2-set-kids-pretend?click_key=fa3cd568ce5f923d3ae7ce85cf45ea81ca4a6c9c%3A1103901356&click_sum=58eef4c7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=diy+furniture&ref=search_grid-243763-250-2&pro=1","WoodjoyCollection",325.08,"3,696 sales","671 shop reviews","5 out of 5 stars","WoodjoyCollection"
"3","4x Straight steel tube table legs | Desk legs, Coffee table legs, Bench legs | Square metal legs | Corner table legs (SET OF 4)",2975,"https://www.etsy.com/listing/1122456962/4x-straight-steel-tube-table-legs-desk?click_key=9e546a883135dd436a747c288b217512f65a67c5%3A1122456962&click_sum=f4b463ed&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=diy+furniture&ref=search_grid-243763-250-3&cns=1","timbuktuCrafts",124.95,"159 sales","34 reviews","4.5 out of 5 stars","timbuktuCrafts"
"4","NEW cat playground + Free Step Awesome wall pieces Wonderful wall decor Wall hangings shelves for cats Playing cat tower Cat furniture set",3912.24,"https://www.etsy.com/listing/1167720138/new-cat-playground-free-step-awesome?click_key=c77320be57c67f2c7d3ff37eeafbc7986af0bf11%3A1167720138&click_sum=e733559e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=diy+furniture&ref=search_grid-243763-250-4&sts=1","wowhelperco",164.31,"2,063 sales","545 shop reviews","5 out of 5 stars","wowhelperco"
"5","Silicone Gypsum Molds Gypsum Form DIY Molds for Gypsum and Concrete Candle Cup Mold Candle Holder",472.75,"https://www.etsy.com/listing/1213328649/silicone-gypsum-molds-gypsum-form-diy?click_key=668d33d68fca3187406c0f96c7a48ec3ccd702c2%3A1213328649&click_sum=115aaa72&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=diy+furniture&ref=search_grid-243764-250-1&pro=1&frs=1","liweiweiwei",19.86,"234 sales","28 shop reviews","5 out of 5 stars","liweiweiwei"
"6","Holiday craft paper, Roycycled Treasures Decoupage Paper, Unique designs for fall, Christmas and Holiday crafts, DIY and furniture projects",265.59,"https://www.etsy.com/listing/1283227821/holiday-craft-paper-roycycled-treasures?click_key=121b3f2b74fe771b06a590b3ef976c3ad4179403%3A1283227821&click_sum=335e5fe4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=diy+furniture&ref=search_grid-243764-250-2&sca=1&sts=1","PoppiesandpanDecor",11.15,"2,911 sales","792 shop reviews","5 out of 5 stars","PoppiesandpanDecor"
"7","Wooden Double Glider/Rocker Building Plans",279.22,"https://www.etsy.com/listing/935848820/wooden-double-gliderrocker-building?click_key=9429fc698ff70c9a21e8b68852b352d13fb12b92%3A935848820&click_sum=dbdc05b0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=diy+furniture&ref=search_grid-243764-250-3","SandmannSpecialties",11.73,"5,600 sales","185 reviews","4.5 out of 5 stars","SandmannSpecialties"
"8","Ikea Kallax Expedit Decal \ Purple Flower \ Rack Sticker \ Removable Decal \ Peel and Stick \  Ikea Vinyl Decal",822.5,"https://www.etsy.com/listing/1384126668/ikea-kallax-expedit-decal-purple-flower?click_key=a9968c0d8d213b85c01a57d057c5a80e96d9d4f4%3A1384126668&click_sum=e880a2ab&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=diy+furniture&ref=search_grid-243764-250-4&sts=1","WallvyDecal",34.55,"240 sales","55 shop reviews","5 out of 5 stars","WallvyDecal"
"9","Coat Stand, Freestanding Coat Rack, Hat Rack, Jacket, Metal Hanger, Garment Rack Umbrella Floor Standing Clothes Rack Home Entryway Hallway",959.49,"https://www.etsy.com/listing/1397191976/coat-stand-freestanding-coat-rack-hat?click_key=94c806df3d9f541447c1260114ada8896d8edf41%3A1397191976&click_sum=511b1e5b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=diy+furniture&ref=search_grid-243764-250-5","CRAFTSNCUSTOM",40.3,NA,NA,NA,NA
"10","Grunge Numbers - Roycycled Treasures Decoupage Paper-High quality unique papers for crafting, furniture, and other DIY projects.",265.59,"https://www.etsy.com/listing/1036833093/grunge-numbers-roycycled-treasures?click_key=7eacabfb7ad2ced2038ed28ff7ad1c1b853e19b9%3A1036833093&click_sum=6575b46a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=diy+furniture&ref=search_grid-243764-250-6&sts=1","PoppiesandpanDecor",11.15,"2,911 sales","792 reviews","5 out of 5 stars","PoppiesandpanDecor"
